customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,clv,spend_category
6575-suvoi,female,1,1,0,25,1,yes,dsl,yes,no,no,yes,yes,no,month-to-month,1,credit card (automatic),69.5,1752.65,0,1737.5,medium
7495-ookfy,female,1,1,0,8,1,yes,fiber optic,no,yes,no,no,no,no,month-to-month,1,credit card (automatic),80.65,633.3,1,645.2,high
4667-qonea,female,1,1,1,60,1,no,dsl,yes,yes,yes,yes,no,yes,one year,1,credit card (automatic),74.85,4456.35,0,4491,high
1658-bygoy,male,1,0,0,18,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,1,electronic check,95.45,1752.55,1,1718.1,high
8769-kktph,female,0,1,1,63,1,yes,fiber optic,yes,no,no,no,yes,yes,one year,1,credit card (automatic),99.65,6311.2,0,6277.95,high
5067-xjqfu,male,1,1,1,66,1,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,1,electronic check,108.45,7076.35,0,7157.7,very_high
3957-sqxml,female,0,1,1,34,1,yes,no,no,no,no,no,no,no,two year,0,credit card (automatic),24.95,894.3,0,848.3,low
5954-bdfsg,female,0,0,0,72,1,yes,fiber optic,no,no,yes,yes,yes,yes,two year,1,credit card (automatic),107.5,7853.7,0,7740,very_high
0434-csfon,female,0,1,0,47,1,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,1,electronic check,100.5,4707.1,0,4723.5,very_high
1215-figmp,male,0,0,0,60,1,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,1,bank transfer (automatic),89.9,5450.7,0,5394,high
0526-sxdjp,male,0,1,0,72,0,no,dsl,yes,yes,yes,no,no,no,two year,0,bank transfer (automatic),42.1,2962,0,3031.2,medium
0557-askvu,female,0,1,1,18,1,no,dsl,no,no,yes,yes,no,no,one year,1,credit card (automatic),54.4,957.1,0,979.2,medium
5698-bqjoh,female,0,0,0,9,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,0,electronic check,94.4,857.25,1,849.6,high
5122-cyfxa,female,0,0,0,3,1,no,dsl,no,yes,no,yes,yes,yes,month-to-month,1,electronic check,75.3,244.1,0,225.9,high
8627-zygsz,male,0,1,0,47,1,yes,fiber optic,no,yes,no,no,no,no,one year,1,electronic check,78.9,3650.35,0,3708.3,high
3410-yoqbq,female,0,0,0,31,1,no,dsl,no,yes,yes,yes,yes,yes,two year,0,mailed check,79.2,2497.2,0,2455.2,high
3170-nmyvv,female,0,1,1,50,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),20.15,930.9,0,1007.5,low
7410-oiedu,male,0,0,0,10,1,no,fiber optic,yes,no,yes,no,no,no,month-to-month,1,mailed check,79.85,887.35,0,798.5,high
2273-qckxa,male,0,0,0,1,1,no,dsl,no,no,no,yes,no,no,month-to-month,0,mailed check,49.05,49.05,0,49.05,medium
0731-ebjqb,female,0,1,1,52,1,no,no,no,no,no,no,no,no,one year,1,electronic check,20.4,1090.65,0,1060.8,low
1891-qrqsa,male,1,1,1,64,1,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,1,bank transfer (automatic),111.6,7099,0,7142.4,very_high
8028-pnxhq,male,0,1,1,62,1,yes,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),24.25,1424.6,0,1503.5,low
5630-ahzil,female,0,0,1,3,1,no,dsl,yes,no,no,yes,no,yes,month-to-month,1,bank transfer (automatic),64.5,177.4,0,193.5,medium
2673-cxqeu,female,1,0,0,56,1,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,0,electronic check,110.5,6139.5,0,6188,very_high
6416-jnvrk,female,0,0,0,46,1,no,dsl,no,no,no,no,no,yes,one year,0,credit card (automatic),55.65,2688.85,0,2559.9,medium
5590-zskrv,female,0,1,1,8,1,no,dsl,yes,yes,no,no,no,no,month-to-month,0,mailed check,54.65,482.25,0,437.2,medium
0191-zhskz,male,1,0,0,30,1,no,dsl,yes,yes,no,no,yes,yes,month-to-month,1,electronic check,74.75,2111.3,0,2242.5,high
3887-pbqao,female,0,1,1,45,1,yes,no,no,no,no,no,no,no,one year,1,credit card (automatic),25.9,1216.6,0,1165.5,low
5919-tmrgd,female,0,0,1,1,1,no,fiber optic,no,no,no,no,yes,no,month-to-month,1,electronic check,79.35,79.35,1,79.35,high
8108-uxrqn,female,0,1,1,11,0,no,dsl,yes,no,no,no,yes,yes,month-to-month,0,electronic check,50.55,565.35,0,556.05,medium
9191-myqkx,female,0,1,0,7,1,no,fiber optic,no,no,yes,no,no,no,month-to-month,1,bank transfer (automatic),75.15,496.9,1,526.05,high
9919-ylnng,female,0,0,0,42,1,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,1,bank transfer (automatic),103.8,4327.5,0,4359.6,very_high
0318-zopws,female,0,1,0,49,1,no,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),20.15,973.35,0,987.35,low
4445-zjnmu,male,0,0,0,9,1,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,1,credit card (automatic),99.3,918.75,0,893.7,high
4808-ynleu,female,0,1,0,35,1,no,dsl,yes,no,no,no,yes,no,one year,1,bank transfer (automatic),62.15,2215.45,0,2175.25,medium
1862-qrwpe,female,0,1,1,48,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),20.65,1057,0,991.2,low
2796-nnufi,female,0,1,1,46,1,no,no,no,no,no,no,no,no,two year,1,mailed check,19.95,927.1,0,917.7,low
3016-ksvcp,male,0,1,0,29,0,no,dsl,no,no,no,no,yes,no,month-to-month,0,mailed check,33.75,1009.25,0,978.75,medium
4767-hzzhq,male,0,1,1,30,1,no,fiber optic,no,yes,yes,no,no,no,month-to-month,0,bank transfer (automatic),82.05,2570.2,0,2461.5,high
2424-wvhpl,male,1,0,0,1,1,no,fiber optic,no,no,no,yes,no,no,month-to-month,0,electronic check,74.7,74.7,0,74.7,high
7233-pahhl,male,0,1,1,66,1,yes,dsl,yes,no,yes,yes,yes,yes,two year,1,mailed check,84,5714.25,0,5544,high
6067-ngceu,female,0,0,0,65,1,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,1,credit card (automatic),111.05,7107,0,7218.25,very_high
9848-jqjtx,male,0,0,0,72,1,yes,fiber optic,no,yes,yes,no,yes,yes,two year,1,bank transfer (automatic),100.9,7459.05,0,7264.8,very_high
8637-xjivr,female,0,0,0,12,1,yes,fiber optic,yes,no,no,no,no,no,month-to-month,1,electronic check,78.95,927.35,1,947.4,high
9803-ftjcg,male,0,1,1,71,1,yes,dsl,yes,yes,no,yes,no,no,one year,1,credit card (automatic),66.85,4748.7,0,4746.35,medium
0278-yxoog,male,0,0,0,5,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,21.05,113.85,1,105.25,low
3212-kxocr,male,0,0,0,52,1,no,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),21,1107.2,0,1092,low
4598-xlknj,female,1,1,0,25,1,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic check,98.5,2514.5,1,2462.5,high
6380-arceh,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.2,20.2,0,20.2,low
3679-xaspy,female,0,1,1,1,1,no,no,no,no,no,no,no,no,month-to-month,0,electronic check,19.45,19.45,0,19.45,low
7123-wquhx,male,0,0,0,38,1,yes,fiber optic,no,no,yes,yes,yes,no,one year,0,bank transfer (automatic),95,3605.6,0,3610,high
5386-thslq,female,1,1,0,66,0,no,dsl,no,yes,yes,no,yes,no,one year,0,bank transfer (automatic),45.55,3027.25,0,3006.3,medium
3192-nqeca,male,0,1,0,68,1,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),110,7611.85,1,7480,very_high
6180-ybiqi,male,0,0,0,5,0,no,dsl,no,no,no,no,no,no,month-to-month,0,mailed check,24.3,100.2,0,121.5,low
6728-dkuco,female,0,1,1,72,1,yes,fiber optic,yes,yes,no,no,yes,yes,one year,1,electronic check,104.15,7303.05,0,7498.8,very_high
9750-boohv,female,0,0,0,32,0,no,dsl,yes,no,no,no,no,no,one year,0,mailed check,30.15,927.65,0,964.8,medium
8597-cwyhh,male,0,0,0,43,1,yes,fiber optic,no,no,no,no,yes,yes,one year,0,mailed check,94.35,3921.3,0,4057.05,high
2848-yxsmw,male,0,1,1,72,1,no,no,no,no,no,no,no,no,two year,0,credit card (automatic),19.4,1363.25,0,1396.8,low
0486-heczi,male,0,1,0,55,1,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,1,electronic check,96.75,5238.9,1,5321.25,high
4549-zdqyy,female,0,0,0,52,1,no,dsl,yes,no,yes,yes,no,no,one year,0,credit card (automatic),57.95,3042.25,0,3013.4,medium
5712-ahqnn,female,0,0,0,43,1,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,1,electronic check,91.65,3954.1,0,3940.95,high
4846-whafz,female,1,1,0,37,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,76.5,2868.15,1,2830.5,high
5256-skjgo,female,0,1,1,64,0,no,dsl,no,yes,no,yes,yes,yes,two year,1,electronic check,54.6,3423.5,0,3494.4,medium
3071-vbypo,male,0,1,1,3,1,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,0,electronic check,89.85,248.4,0,269.55,high
9560-bbzxk,female,0,0,0,36,0,no,dsl,yes,no,no,no,no,no,two year,0,bank transfer (automatic),31.05,1126.35,0,1117.8,medium
5299-ruloa,female,0,1,1,10,1,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,1,electronic check,100.25,1064.65,1,1002.5,very_high
8402-ooohj,female,0,0,0,41,1,no,no,no,no,no,no,no,no,two year,0,mailed check,20.65,835.15,0,846.65,low
9445-zueqe,male,0,1,1,27,1,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,1,credit card (automatic),85.2,2151.6,0,2300.4,high
1091-sozga,female,0,1,1,56,1,yes,fiber optic,no,no,yes,no,yes,yes,one year,1,credit card (automatic),99.8,5515.45,0,5588.8,high
2928-hldba,female,0,0,0,6,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.7,112.75,0,124.2,low
0404-swrvg,male,0,0,0,3,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,74.4,229.55,1,223.2,high
6497-tilvl,female,0,1,1,7,1,no,dsl,yes,no,no,no,no,no,month-to-month,0,mailed check,50.7,350.35,0,354.9,medium
7219-tlzho,female,0,1,1,4,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,20.85,62.9,0,83.4,low
4622-ynkij,male,0,0,0,33,1,no,fiber optic,yes,no,no,yes,yes,no,two year,1,electronic check,88.95,3027.65,0,2935.35,high
4412-yltkf,female,1,0,0,27,1,yes,fiber optic,no,no,yes,no,no,no,month-to-month,1,electronic check,78.05,2135.5,1,2107.35,high
6734-psbaw,male,0,1,0,72,1,yes,no,no,no,no,no,no,no,two year,1,bank transfer (automatic),23.55,1723.95,0,1695.6,low
3930-zgwve,male,0,0,0,1,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.75,19.75,0,19.75,low
2639-ugmaz,male,1,0,0,71,0,no,dsl,yes,yes,no,no,yes,yes,one year,1,electronic check,56.45,3985.35,0,4007.95,medium
2876-gzyzc,female,0,0,0,13,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,1,electronic check,85.95,1215.65,0,1117.35,high
6207-wiolx,female,0,1,1,25,0,no,dsl,yes,yes,yes,no,yes,yes,month-to-month,1,credit card (automatic),58.6,1502.65,1,1465,medium
8587-xyzsf,male,0,0,0,67,1,no,dsl,no,no,no,yes,no,no,two year,0,bank transfer (automatic),50.55,3260.1,0,3386.85,medium
3091-fyhki,male,0,0,0,1,0,no,dsl,no,no,no,no,no,yes,month-to-month,1,electronic check,35.45,35.45,1,35.45,medium
2372-hwuhi,male,0,0,0,2,1,no,dsl,no,no,no,no,no,no,month-to-month,0,electronic check,44.35,81.25,1,88.7,medium
7799-lgrdp,female,0,0,0,43,1,yes,no,no,no,no,no,no,no,two year,1,credit card (automatic),25.7,1188.2,0,1105.1,low
7850-vwjuu,female,0,0,0,23,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,1,bank transfer (automatic),75,1778.5,0,1725,high
3774-vbnxy,female,0,1,1,64,1,no,no,no,no,no,no,no,no,two year,0,mailed check,20.2,1277.75,0,1292.8,low
6217-kdywc,male,0,0,1,57,1,no,no,no,no,no,no,no,no,two year,1,mailed check,19.6,1170.55,0,1117.2,low
0390-dcfdq,female,1,1,0,1,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,mailed check,70.45,70.45,1,70.45,high
3146-msegf,female,1,1,1,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,1,credit card (automatic),88.05,6425.65,0,6339.6,high
4080-ogpjl,female,0,0,0,8,1,yes,dsl,yes,no,no,yes,no,yes,month-to-month,0,electronic check,71.15,563.65,1,569.2,high
1095-wgngg,female,0,1,0,61,1,yes,fiber optic,no,yes,no,no,yes,yes,two year,1,bank transfer (automatic),101.05,5971.25,0,6164.05,very_high
2636-sjdou,male,0,0,0,64,1,yes,fiber optic,yes,yes,no,no,no,no,one year,1,credit card (automatic),84.3,5289.05,0,5395.2,high
1131-qqzeb,male,1,1,0,71,1,yes,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),23.95,1756.2,0,1700.45,low
5716-ezxzn,female,0,1,1,65,1,yes,fiber optic,yes,yes,no,yes,yes,no,two year,1,credit card (automatic),99.05,6416.7,0,6438.25,high
6837-bjydq,male,0,0,0,3,1,no,no,no,no,no,no,no,no,one year,0,mailed check,19.6,61.35,0,58.8,low
2135-rxihg,male,0,0,0,1,1,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,45.65,45.65,1,45.65,medium
6440-dkqge,male,0,0,1,30,1,no,dsl,no,yes,yes,no,yes,no,one year,0,credit card (automatic),64.5,1929.95,0,1935,medium
3466-byavd,male,0,1,1,15,1,no,dsl,no,yes,yes,yes,no,yes,month-to-month,1,mailed check,69.5,1071.4,0,1042.5,medium
3780-yvmfa,female,0,1,1,8,1,no,dsl,no,no,no,yes,yes,yes,month-to-month,1,electronic check,68.55,564.35,0,548.4,medium
3874-eqoep,male,0,0,0,7,1,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,0,mailed check,95,655.5,1,665,high
1679-jrfbr,female,0,1,1,70,1,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,1,credit card (automatic),108.15,7930.55,0,7570.5,very_high
9073-zziay,male,0,1,1,62,1,no,dsl,yes,yes,yes,yes,yes,yes,two year,0,electronic check,86.1,5215.25,0,5338.2,high
3077-rsntj,female,0,1,1,6,1,no,no,no,no,no,no,no,no,month-to-month,0,mailed check,19.7,113.5,0,118.2,low
6551-gnydg,female,0,1,1,14,1,no,fiber optic,no,no,no,no,no,yes,month-to-month,1,bank transfer (automatic),80.9,1152.8,0,1132.6,high
9167-apmxz,female,0,0,0,22,1,yes,fiber optic,no,no,no,no,yes,no,month-to-month,1,bank transfer (automatic),84.15,1821.95,0,1851.3,high
2749-ctkaj,male,0,1,1,22,1,no,no,no,no,no,no,no,no,one year,0,mailed check,20.15,419.9,0,443.3,low
6371-nzyeg,male,0,1,1,16,1,no,dsl,yes,no,yes,no,yes,no,two year,0,mailed check,64.25,1024,0,1028,medium
7554-newdd,male,0,0,0,10,1,yes,no,no,no,no,no,no,no,two year,0,bank transfer (automatic),25.7,251.6,0,257,low
8992-vonjd,female,0,0,1,13,1,no,dsl,yes,yes,no,no,no,no,month-to-month,1,electronic check,56,764.55,0,728,medium
0867-mkzvy,female,0,1,0,20,1,yes,fiber optic,yes,no,no,no,no,no,month-to-month,0,electronic check,82.4,1592.35,1,1648,high
4482-ewfmi,female,0,0,0,2,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,electronic check,69.7,135.2,0,139.4,medium
4648-ypbtm,male,0,0,0,53,1,yes,dsl,no,yes,yes,yes,no,yes,two year,1,bank transfer (automatic),73.9,3958.25,0,3916.7,high
2907-iljbn,female,0,1,1,11,1,no,no,no,no,no,no,no,no,one year,0,mailed check,20.6,233.9,0,226.6,low
6345-fzoqh,male,0,1,0,69,1,no,no,no,no,no,no,no,no,two year,0,mailed check,19.9,1363.45,0,1373.1,low
3376-bmgfe,female,0,0,0,4,1,no,fiber optic,no,no,no,no,no,no,month-to-month,1,bank transfer (automatic),70.9,273,1,283.6,high
5997-opvfa,male,0,1,0,72,1,yes,dsl,yes,yes,yes,yes,yes,yes,two year,1,bank transfer (automatic),89.05,6254.45,0,6411.6,high
3445-hxxgf,male,1,1,0,58,0,no,dsl,no,yes,yes,no,no,yes,month-to-month,1,electronic check,45.3,2651.2,1,2627.4,medium
1159-wfsgr,female,0,1,1,16,1,no,no,no,no,no,no,no,no,month-to-month,0,electronic check,20.4,321.4,0,326.4,low
7654-ywjuf,male,0,1,0,43,1,no,fiber optic,yes,no,yes,yes,no,no,one year,1,bank transfer (automatic),84.25,3539.25,0,3622.75,high
1875-qivme,female,0,1,0,2,1,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,1,electronic check,104.4,242.8,1,208.8,very_high
6727-iotlz,male,0,1,0,14,1,no,dsl,no,yes,yes,yes,yes,yes,two year,0,mailed check,81.95,1181.75,0,1147.3,high
0691-jvsya,female,0,1,0,53,1,no,fiber optic,no,no,yes,no,yes,yes,one year,1,bank transfer (automatic),94.85,5000.2,1,5027.05,high
5918-vukwp,female,0,0,0,32,1,no,no,no,no,no,no,no,no,one year,0,bank transfer (automatic),20.55,654.55,0,657.6,low
1744-jhkys,female,0,1,0,34,1,yes,no,no,no,no,no,no,no,month-to-month,0,electronic check,24.7,780.2,0,839.8,low
2656-fmokz,female,1,0,0,15,1,yes,fiber optic,no,no,no,no,no,no,month-to-month,1,mailed check,74.45,1145.7,1,1116.75,high
2070-fnexe,female,1,0,0,7,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,0,bank transfer (automatic),76.45,503.6,1,535.15,high
5947-sgkcl,female,0,1,1,15,1,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,1,bank transfer (automatic),105.35,1559.25,0,1580.25,very_high
3712-pkxza,male,0,1,0,61,1,no,no,no,no,no,no,no,no,one year,1,credit card (automatic),20.55,1252,0,1253.55,low
6317-ypkdh,female,0,0,0,1,0,no,dsl,no,yes,no,no,no,no,month-to-month,0,bank transfer (automatic),29.95,29.95,1,29.95,low
6582-oivsp,female,0,0,0,1,1,no,dsl,no,no,no,no,no,no,month-to-month,0,mailed check,45.3,45.3,0,45.3,medium
9367-wxlch,male,0,0,0,8,1,yes,fiber optic,no,no,no,no,no,yes,month-to-month,0,bank transfer (automatic),84.5,662.65,1,676,high
5524-khnjp,male,0,1,1,33,1,no,dsl,yes,no,yes,no,yes,yes,one year,0,credit card (automatic),74.75,2453.3,0,2466.75,high
1918-zbfqj,female,0,0,0,13,1,no,fiber optic,no,yes,yes,no,no,no,month-to-month,1,electronic check,79.25,1111.65,1,1030.25,high
1024-guald,female,0,1,0,1,0,no,dsl,no,no,no,no,no,no,month-to-month,1,electronic check,24.8,24.8,1,24.8,low
4827-usjhp,male,0,0,0,20,1,no,dsl,no,yes,no,no,no,no,month-to-month,1,mailed check,51.8,1023.85,0,1036,medium
8167-gjlrn,male,0,0,0,3,0,no,dsl,no,no,no,yes,no,no,month-to-month,0,electronic check,30.4,82.15,0,91.2,medium
0956-sycwg,female,0,0,0,13,1,no,no,no,no,no,no,no,no,one year,0,electronic check,19.65,244.8,0,255.45,low
8017-uvszu,female,0,1,0,40,1,yes,dsl,no,yes,no,no,no,no,month-to-month,0,credit card (automatic),56.6,2379.1,0,2264,medium
7100-fqprv,male,0,1,1,43,1,yes,dsl,yes,no,no,yes,no,yes,one year,1,credit card (automatic),71.9,3173.35,0,3091.7,high
